m_name,m_price,reviwe
"OnePlus Nord 2 5G (Blue Haze, 8GB RAM, 128GB Storage)",29999,64630
"Samsung Galaxy M32 5G (Sky Blue, 6GB RAM, 128GB Storage)",,21139
"OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)",29999,64630
"OnePlus Nord CE 5G (Blue Void, 8GB RAM, 128GB Storage)",24999,62750
"Samsung Galaxy M32 5G (Slate Black, 6GB RAM, 128GB Storage)",,21139
"OnePlus Nord 2 5G (Blue Haze, 12GB RAM, 256GB Storage)",34999,64630
"Samsung Galaxy M32 5G (Sky Blue, 8GB RAM, 128GB Storage)",,21139
"iQOO Z3 5G (Ace Black, 8GB RAM, 128GB Storage) | India's First SD 768G 5G Processor | 55W FlashCharge | Upto 6 Months No Cost EMI",20990,46114
Redmi Note 11T 5G (Matte Black 8GB RAM 128GB ROM) | Dimensity 810 5G | 33W Pro Fast Charging,19999,2963
"Samsung Galaxy M52 5G (Blazing Black, 6GB RAM, 128GB Storage) Latest Snapdragon 778G 5G | sAMOLED 120Hz Display",,9626
"iQOO Z3 5G (Cyber Blue, 6GB RAM, 128GB Storage) | India's First SD 768G 5G Processor | 55W FlashCharge | Upto 6 Months No Cost EMI",19990,46114
"OnePlus 9R 5G (Carbon Black, 8GB RAM, 128GB Storage)",39999,36387
