Mobile Name,Price,Ratings
"realme 8 (Cyber Black, 128 GB)","₹15,999","76,045 Ratings "
"realme 8i (Space Black, 64 GB)","₹13,999","1,39,434 Ratings "
"realme C11 2021 (Cool Blue, 32 GB)","₹7,499","1,63,353 Ratings "
"realme C11 2021 (Cool Blue, 64 GB)","₹8,999","1,40,458 Ratings "
"realme C11 2021 (Cool Grey, 32 GB)","₹7,499","1,63,353 Ratings "
"realme C11 2021 (Cool Grey, 64 GB)","₹8,999","1,40,458 Ratings "
"realme C20 (Cool Blue, 32 GB)","₹7,499","2,50,662 Ratings "
"realme C20 (Cool Grey, 32 GB)","₹7,499","2,50,662 Ratings "
"realme C21Y (Cross Black, 32 GB)","₹9,499","54,297 Ratings "
"realme C21Y (Cross Black, 64 GB)","₹10,499","2,16,627 Ratings "
"realme C21Y (Cross Blue, 32 GB)","₹9,499","54,297 Ratings "
"realme C21Y (Cross Blue, 64 GB)","₹10,499","2,16,627 Ratings "
"realme C25_Y (Glacier Blue, 128 GB)","₹11,999","19,338 Ratings "
"realme C25_Y (Glacier Blue, 64 GB)","₹10,999","19,338 Ratings "
"realme C25_Y (Metal Grey, 128 GB)","₹11,999","19,338 Ratings "
"realme C25_Y (Metal Grey, 64 GB)","₹10,999","19,338 Ratings "
"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499","2,42,741 Ratings "
"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,549","2,42,741 Ratings "
"realme Narzo 50A (Oxygen Green, 128 GB)","₹12,499","2,42,741 Ratings "
"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,549","2,42,741 Ratings "
"realme Narzo 50i (Carbon Black, 32 GB)","₹7,499","67,998 Ratings "
"realme Narzo 50i (Carbon Black, 64 GB)","₹8,999","38,893 Ratings "
"realme Narzo 50i (Mint Green, 32 GB)","₹7,499","67,998 Ratings "
"realme Narzo 50i (Mint Green, 64 GB)","₹8,999","38,893 Ratings "
